pid, process_name, used_gpu_memory [MiB]
2456, [Insufficient Permissions], [N/A]
12216, C:\Windows\System32\ShellHost.exe, [N/A]
11316, C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe, [N/A]
12144, C:\Windows\explorer.exe, [N/A]
14020, C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe, [N/A]
14064, C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe, [N/A]
16036, [Insufficient Permissions], [N/A]
8684, C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe, [N/A]
17908, C:\Program Files\WindowsApps\Microsoft.YourPhone_1.26071.164.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe, [N/A]
17492, C:\Users\Kevin\AppData\Local\PowerToys\WinUI3Apps\PowerToys.QuickAccess.exe, [N/A]
18708, C:\Program Files\WindowsApps\Microsoft.CommandPalette_0.12.12365.0_x64__8wekyb3d8bbwe\Microsoft.CmdPal.UI.exe, [N/A]
18552, C:\Users\Kevin\AppData\Local\PowerToys\WinUI3Apps\PowerToys.Peek.UI.exe, [N/A]
18460, C:\Users\Kevin\AppData\Local\PowerToys\PowerToys.FancyZones.exe, [N/A]
13580, C:\Users\Kevin\AppData\Local\PowerToys\PowerToys.exe, [N/A]
19392, C:\Users\Kevin\AppData\Local\PowerToys\WinUI3Apps\PowerToys.ShortcutGuide.exe, [N/A]
7864, C:\Users\Kevin\AppData\Local\PowerToys\PowerToys.ColorPickerUI.exe, [N/A]
20776, [Insufficient Permissions], [N/A]
12308, [Insufficient Permissions], [N/A]
23704, C:\Program Files\Blender Foundation\Blender 5.2\blender.exe, [N/A]
20996, [Insufficient Permissions], [N/A]
17136, [Insufficient Permissions], [N/A]
25748, C:\Program Files\WindowsApps\Microsoft.6365217CE6EB4_102.2602.23002.0_x64__8wekyb3d8bbwe\MicrosoftSecurityApp\MicrosoftSecurityApp.exe, [N/A]
27564, C:\Program Files\WindowsApps\9426MICRO-STARINTERNATION.MSICenter_2.0.71.0_x64__kzh8wxbdkxb8p\DCv2\DCv2.exe, [N/A]
10284, [Insufficient Permissions], [N/A]
7468, C:\Windows\ImmersiveControlPanel\SystemSettings.exe, [N/A]
26792, [Insufficient Permissions], [N/A]
16276, E:\SteamLibrary\steamapps\common\They Are Billions\TheyAreBillions.exe, [N/A]
24752, C:\Program Files\WindowsApps\Microsoft.Edge.GameAssist_1.0.4019.0_x64__8wekyb3d8bbwe\EdgeGameAssist.exe, [N/A]
28168, [Insufficient Permissions], [N/A]
